Name,CCLE_ID,depMapID,GDSC_CELL_LINE_NAME
22Rv1,22RV1_PROSTATE,ACH-000956,22RV1
23132/87,2313287_STOMACH,ACH-000948,23132-87
42-MG-BA,42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,42-MG-BA
5637,5637_URINARY_TRACT,ACH-000905,5637
639-V,639V_URINARY_TRACT,ACH-000973,639-V
647-V,647V_URINARY_TRACT,ACH-000896,647-V
697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000070,697
769-P,769P_KIDNEY,ACH-000411,769-P
8-MG-BA,8MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000137,8-MG-BA
8305C,8305C_THYROID,ACH-001306,8305C
8505C,8505C_THYROID,ACH-001307,8505C
A-204,A204_SOFT_TISSUE,ACH-000201,A204
A-253,A253_SALIVARY_GLAND,ACH-000740,A253
A-375,A375_SKIN,ACH-000219,A375
A-673,A673_BONE,ACH-000052,A673
A-704,A704_KIDNEY,ACH-000429,A704
A101D,A101D_SKIN,ACH-000008,A101D
A2058,A2058_SKIN,ACH-000788,A2058
A2780,A2780_OVARY,ACH-000657,A2780
A549,A549_LUNG,ACH-000681,A549
ABC-1,ABC1_LUNG,ACH-000528,ABC-1
ACHN,ACHN_KIDNEY,ACH-000046,ACHN
AGS,AGS_STOMACH,ACH-000880,AGS
AMO-1,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000838,AMO-1
AU565,AU565_BREAST,ACH-000248,AU565
AsPC-1,ASPC1_PANCREAS,ACH-000222,AsPC-1
B-CPAP,BCPAP_THYROID,ACH-000456,B-CPAP
BC-3C,BC3C_URINARY_TRACT,ACH-000593,BC-3
BFTC-905,BFTC905_URINARY_TRACT,ACH-000802,BFTC-905
BFTC-909,BFTC909_KIDNEY,ACH-000792,BFTC-909
BHT-101,BHT101_THYROID,ACH-000191,BHT-101
BHY,BHY_UPPER_AERODIGESTIVE_TRACT,ACH-000548,BHY
BICR 31,BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,BICR31
BT-20,BT20_BREAST,ACH-000536,BT-20
BT-474,BT474_BREAST,ACH-000927,BT-474
BT-483,BT483_BREAST,ACH-000818,BT-483
