CID,GDSC_DRUG_ID,GDSC_DRUG_NAME,DGIDB_DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME
3385,1073,5-Fluorouracil,FLUOROURACIL,Antimetabolite (DNA & RNA),Other
9444,2156,5-azacytidine,AZACITIDINE,DNA methyltransferases,Other
76285486,2157,A-366,A-366,"EHMT1, EHMT2",Chromatin histone methylation
11228183,1910,ABT737,ABT-737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation
56645356,1913,AGI-5198,AGI-5198,IDH1 (R132H),Metabolism
2130404,2039,AGK2,AGK2,"BAZ2A, BAZ2B",Chromatin histone acetylation
68947304,2045,AMG-319,AMG-319,PI3K (beta sparing),PI3K/MTOR signaling
68947304,2045,AMG-319,AMG319,PI3K (beta sparing),PI3K/MTOR signaling
24905401,2170,AT13148,AT-13148,AKT1,PI3K/MTOR signaling
24905401,2170,AT13148,MULTI-AGC KINASE INHIBITOR AT13148,AKT1,PI3K/MTOR signaling
135905416,2109,AZ6102,AZ6102,"TNKS1, TNKS2",WNT signaling
25099184,1250,AZ960,AZ960,"JAK2, JAK3","Other, kinases"
58423153,1449,AZD1208,AZD-1208,"PIM1, PIM2, PIM3","Other, kinases"
58423153,1449,AZD1208,AZD1208,"PIM1, PIM2, PIM3","Other, kinases"
49831044,1463,AZD1332,AZD1332,"NTRK1, NTRK2, NTRK3",RTK signaling
25262792,1441,AZD2014,VISTUSERTIB,"mTORC1, mTORC2",PI3K/MTOR signaling
78209992,1915,AZD3759,AZD-3759,EGFR,EGFR signaling
78209992,1915,AZD3759,ZORIFERTINIB,EGFR,EGFR signaling
51039095,1786,AZD4547,AZD-4547,"FGFR1, FGFR2, FGFR3",RTK signaling
51039095,1786,AZD4547,FEXAGRATINIB,"FGFR1, FGFR2, FGFR3",RTK signaling
25227436,1916,AZD5363,CAPIVASERTIB,"AKT1, AKT2, AKT3, ROCK2","Other, kinases"
16747683,1401,AZD5438,AZD5438,CDK2,Cell cycle
49847690,1617,AZD5582,AZD5582,"XIAP, cIAP",Apoptosis regulation
131634760,1720,AZD5991,AZD5991,MCL1,Apoptosis regulation
44137675,2169,AZD6482,AZD-6482,PI3Kbeta,PI3K/MTOR signaling
44137675,2169,AZD6482,AZD6482,PI3Kbeta,PI3K/MTOR signaling
11152667,1022,AZD7762,AZD-7762,"CHEK1, CHEK2",Cell cycle
11152667,1022,AZD7762,AZD7762,"CHEK1, CHEK2",Cell cycle
25262965,1059,AZD8055,AZD-8055,"MTORC1, MTORC2",PI3K/MTOR signaling
25262965,1059,AZD8055,AZD8055,"MTORC1, MTORC2",PI3K/MTOR signaling
