================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/01_main/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2397.1s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9218 RMSE=1.1535 Spearman=0.8899 N=66543
  PCC  | mean=0.6775  median=0.6922  weighted_mean=0.6758  std=0.1104
  RMSE | mean=1.0880  median=1.0698  weighted_mean=1.0944
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8838  RMSE=1.2256  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7274    0.7065   0.7666   0.6500         -
1    1                   404   0.6132    0.6015   1.1173   0.8618         -
2    2                   324   0.6491    0.6307   1.6494   1.3281324 (no_dti)
3    3                    77   0.7564    0.6456   0.6710   0.5458         -
4    4                   401   0.7968    0.7576   0.5557   0.4493         -
5    5                   404   0.7655    0.7492   1.1150   0.8865         -
6    6                   382   0.6906    0.6714   0.6685   0.5075         -
7    7                   324   0.7770    0.7592   1.3661   1.0992         -
8    8                   385   0.6748    0.6382   1.1972   0.9584         -
9    9                   402   0.7392    0.7262   0.7282   0.5573         -
10   10                  403   0.8092    0.7686   0.7228   0.5837         -
11   11                  329   0.7959    0.7797   1.3308   1.0295         -
12   12                  324   0.3753    0.4160   2.0159   1.6514324 (no_dti)
13   13                  326   0.7457    0.7066   0.9453   0.7393         -
14   14                  327   0.4913    0.4627   0.9605   0.7645         -
15   15                  327   0.8296    0.8383   1.5391   1.3172         -
16   16                  403   0.7821    0.7811   1.3523   1.1256         -
17   17                  401   0.7765    0.7751   1.4796   1.2399         -
18   18                  401   0.8160    0.8124   1.0047   0.8269         -
19   19                  403   0.6789    0.6451   1.3683   1.0965         -
20   20                  402   0.7814    0.7919   1.8960   1.5463         -
21   21                  324   0.8516    0.8334   0.4532   0.3284         -
22   22                  403   0.7689    0.7602   0.6284   0.4839         -
23   23                  399   0.7161    0.6982   1.6693   1.3662         -
24   24                  401   0.5436    0.5876   1.0692   0.8771         -
25   25                  324   0.6393    0.6142   0.8178   0.6132324 (no_dti)
26   26                  399   0.7650    0.7621   1.0718   0.8631         -
27   27                  373   0.3434    0.3165   2.2890   2.0105         -
28   28                  404   0.7900    0.7987   1.6825   1.4320         -
29   29                  401   0.6417    0.6734   0.8711   0.6946         -
30   30                  401   0.6344    0.6050   0.8086   0.6394         -
31   31                  399   0.5338    0.5311   1.1682   0.9081         -
32   32                  403   0.6255    0.6469   1.3011   1.0081         -
33   33                  401   0.7110    0.6932   0.8584   0.5828         -
34   34                  399   0.7894    0.7617   0.6379   0.5162         -
35   35                  401   0.5656    0.4829   1.2449   1.0803         -
36   36                   77   0.7426    0.6720   0.7392   0.5747         -
37   37                  324   0.7252    0.7191   1.1037   0.8548         -
38   38                  324   0.8161    0.8104   1.1325   0.8962         -
39   39                  402   0.8060    0.7912   1.3041   1.0763         -
40   40                  404   0.5342    0.3978   0.9022   0.7723         -
41   41                   77   0.7774    0.7615   0.7477   0.600277 (no_dti)
42   42                  401   0.6299    0.6711   1.2457   0.8327         -
43   43                  324   0.6305    0.6158   1.5213   1.1340         -
44   44                   77   0.7385    0.7250   0.9565   0.7964         -
45   45                  329   0.4465    0.3457   1.2255   0.9721         -
46   46                  393   0.6114    0.5298   0.7066   0.5828         -
47   47                  382   0.7074    0.7001   0.6373   0.4800382 (no_dti)
48   48                  401   0.6206    0.5632   0.9288   0.7577         -
49   49                  324   0.7630    0.8137   0.7297   0.5501         -
50   50                  402   0.4986    0.4828   2.0806   1.5953         -
51   51                  401   0.7375    0.6920   0.7518   0.6135         -
52   52                  396   0.6322    0.6107   1.4063   1.0992         -
53   53                  397   0.8211    0.8122   1.5200   1.2855         -
54   54                  399   0.6716    0.6539   1.1636   0.8588         -
55   55                  404   0.7687    0.7160   1.0009   0.8082         -
56   56                  324   0.5341    0.5423   1.3778   1.2212         -
57   57                  345   0.7355    0.7483   1.1464   0.8886         -
58   58                  110   0.8641    0.8612   1.1996   0.9584         -
59   59                  336   0.8148    0.7940   1.0811   0.8384         -
60   60                  401   0.7927    0.7783   1.0392   0.7517         -
61   61                  399   0.6250    0.6371   1.3440   1.0927         -
62   62                  222   0.4698    0.5505   2.4885   2.1384         -
63   63                  393   0.6050    0.5871   1.3517   0.9918         -
64   64                  403   0.5447    0.5377   1.8659   1.4785         -
65   65                   99   0.4103    0.3267   1.4456   1.1903         -
66   66                  403   0.8299    0.7998   0.9234   0.7437         -
67   67                  393   0.7550    0.7465   1.1199   0.9086393 (no_dti)
68   68                  382   0.7594    0.7596   0.8620   0.6643         -
69   69                  396   0.6657    0.6568   0.7605   0.5488396 (no_dti)
70   70                  398   0.7349    0.7161   0.7572   0.6026         -
71   71                  401   0.5642    0.5651   0.9808   0.7236         -
72   72                  382   0.6717    0.6506   1.4152   1.1202         -
73   73                   77   0.7035    0.7281   1.1275   0.8763         -
74   74                   77   0.7679    0.7441   0.7940   0.6446         -
75   75                  403   0.5307    0.5201   1.5879   1.2120         -
76   76                  402   0.5351    0.6381   1.2583   0.8397         -
77   77                  403   0.7305    0.7005   1.0919   0.8590         -
78   78                  401   0.2620    0.2742   1.8476   1.5293         -
79   79                  400   0.6483    0.5217   1.5783   1.2516         -
80   80                  393   0.7279    0.7061   0.9510   0.7487         -
81   81                  385   0.8173    0.8214   1.3833   1.1125         -
82   82                  404   0.8314    0.7961   1.0037   0.7768         -
83   83                  152   0.6479    0.6517   1.1251   0.9064         -
84   84                  402   0.5049    0.5156   1.4854   1.1822         -
85   85                  399   0.7474    0.7343   0.8323   0.6578         -
86   86                  398   0.7405    0.7131   0.6553   0.5232         -
87   87                  403   0.8084    0.8144   0.8863   0.6607         -
88   88                  397   0.6511    0.6609   1.1513   0.8816         -
89   89                  403   0.6142    0.6073   1.0277   0.7921         -
90   90                  382   0.5914    0.6150   0.8316   0.6727         -
91   91                  399   0.7962    0.8439   0.6840   0.4131         -
92   92                  402   0.6291    0.6148   1.1011   0.8846         -
93   93                  399   0.8096    0.7801   0.5338   0.4270         -
94   94                  401   0.7171    0.7093   1.2396   1.0363         -
95   95                  110   0.6928    0.6816   1.0305   0.8037         -
96   96                  401   0.7574    0.7307   0.6279   0.4733         -
