================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/04_no_pretrain/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1524.1s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9262 RMSE=1.1023 Spearman=0.8949 N=66543
  PCC  | mean=0.6943  median=0.7143  weighted_mean=0.6940  std=0.0996
  RMSE | mean=1.0485  median=1.0387  weighted_mean=1.0521
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8833  RMSE=1.2403  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7331    0.7064   0.6689   0.5532         -
1    1                   404   0.6226    0.6169   1.0581   0.7887         -
2    2                   324   0.6660    0.6501   1.6218   1.3262324 (no_dti)
3    3                    77   0.7350    0.6046   0.6954   0.5694         -
4    4                   401   0.8003    0.7554   0.5596   0.4551         -
5    5                   404   0.7692    0.7561   1.1338   0.8940         -
6    6                   382   0.6856    0.6654   0.6650   0.5058         -
7    7                   324   0.7954    0.7745   1.3166   1.0534         -
8    8                   385   0.6695    0.6310   1.2105   0.9744         -
9    9                   402   0.7431    0.7277   0.7523   0.5614         -
10   10                  403   0.8144    0.7767   0.7165   0.5754         -
11   11                  329   0.8082    0.7970   1.3438   1.0751         -
12   12                  324   0.4343    0.4670   1.9874   1.6428324 (no_dti)
13   13                  326   0.7448    0.7134   0.9241   0.7388         -
14   14                  327   0.5037    0.4699   1.3495   1.1228         -
15   15                  327   0.8449    0.8506   1.2933   1.0760         -
16   16                  403   0.8095    0.8029   1.1610   0.9567         -
