================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/05_arch/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1517.0s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9182 RMSE=1.1753 Spearman=0.8864 N=66543
  PCC  | mean=0.6577  median=0.6773  weighted_mean=0.6567  std=0.1186
  RMSE | mean=1.1103  median=1.1158  weighted_mean=1.1138
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8749  RMSE=1.3503  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7151    0.6861   0.6960   0.5206         -
1    1                   404   0.5984    0.5930   1.1142   0.8205         -
2    2                   324   0.6388    0.6217   1.6696   1.3380324 (no_dti)
3    3                    77   0.7313    0.6206   0.6952   0.5722         -
4    4                   401   0.7854    0.7360   0.5466   0.4334         -
5    5                   404   0.7459    0.7315   1.1397   0.9056         -
6    6                   382   0.6871    0.6731   0.6537   0.5020         -
7    7                   324   0.7668    0.7460   1.4296   1.1627         -
8    8                   385   0.6530    0.6158   1.2262   0.9793         -
9    9                   402   0.7059    0.6841   0.7552   0.5916         -
10   10                  403   0.7940    0.7568   0.7426   0.5969         -
11   11                  329   0.7802    0.7650   1.4012   1.0958         -
12   12                  324   0.2810    0.3295   2.0533   1.6717324 (no_dti)
13   13                  326   0.7395    0.6965   0.9375   0.7455         -
14   14                  327   0.4876    0.4656   1.8841   1.7219         -
15   15                  327   0.8261    0.8354   1.2913   1.0510         -
16   16                  403   0.7706    0.7656   1.3154   1.0775         -
17   17                  401   0.7750    0.7707   1.2593   1.0381         -
18   18                  401   0.8053    0.7989   1.0580   0.8761         -
19   19                  403   0.6789    0.6414   1.4043   1.1314         -
20   20                  402   0.7587    0.7736   2.0414   1.7052         -
21   21                  324   0.8189    0.7977   0.4960   0.3768         -
22   22                  403   0.7500    0.7322   0.6746   0.5228         -
23   23                  399   0.7032    0.6871   1.5465   1.2625         -
24   24                  401   0.5186    0.5736   1.0171   0.7305         -
25   25                  324   0.6213    0.5929   1.5395   1.3861324 (no_dti)
26   26                  399   0.7637    0.7638   1.2059   0.9999         -
27   27                  373   0.3280    0.3111   2.3464   2.0436         -
28   28                  404   0.7906    0.7974   1.4324   1.1897         -
29   29                  401   0.6335    0.6660   0.8711   0.6510         -
30   30                  401   0.6403    0.5969   0.7921   0.6281         -
31   31                  399   0.5229    0.5313   1.1699   0.8788         -
32   32                  403   0.5590    0.6017   1.3344   1.0231         -
33   33                  401   0.6847    0.6732   0.8668   0.6183         -
