================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B1_bypass_residual/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1512.4s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9310 RMSE=1.0709 Spearman=0.8991 N=66543
  PCC  | mean=0.7111  median=0.7282  weighted_mean=0.7109  std=0.0889
  RMSE | mean=1.0248  median=0.9848  weighted_mean=1.0274
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8910  RMSE=1.1901  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7384    0.7279   0.7035   0.5889         -
1    1                   404   0.6253    0.6220   1.0662   0.8037         -
2    2                   324   0.6962    0.6853   1.6296   1.2988324 (no_dti)
3    3                    77   0.7453    0.6198   0.7187   0.5922         -
4    4                   401   0.7770    0.7351   0.6522   0.5414         -
5    5                   404   0.7675    0.7550   1.0992   0.8652         -
6    6                   382   0.6576    0.6565   0.7511   0.5691         -
7    7                   324   0.7968    0.7780   1.4882   1.1847         -
8    8                   385   0.6766    0.6480   1.2036   0.9593         -
9    9                   402   0.7404    0.7282   0.7276   0.5580         -
10   10                  403   0.8079    0.7742   0.7609   0.6264         -
11   11                  329   0.8313    0.8196   1.2739   1.0084         -
12   12                  324   0.5725    0.5659   1.8951   1.5361324 (no_dti)
13   13                  326   0.7568    0.7177   0.9133   0.7253         -
14   14                  327   0.5133    0.4864   0.8611   0.6855         -
15   15                  327   0.8520    0.8584   1.1755   0.9577         -
16   16                  403   0.8266    0.8226   1.1482   0.9296         -
17   17                  401   0.8080    0.8063   1.0995   0.8890         -
18   18                  401   0.8406    0.8286   1.0463   0.8633         -
19   19                  403   0.7172    0.6979   1.0215   0.7956         -
20   20                  402   0.8301    0.8378   1.7001   1.3384         -
21   21                  324   0.8339    0.8141   0.5018   0.4007         -
22   22                  403   0.7841    0.7817   0.6472   0.5100         -
23   23                  399   0.7508    0.7359   1.3196   1.0667         -
24   24                  401   0.6508    0.6532   0.9157   0.7121         -
25   25                  324   0.6493    0.6340   0.7692   0.5710324 (no_dti)
26   26                  399   0.7797    0.7878   1.0983   0.8996         -
27   27                  373   0.4248    0.3997   2.2127   1.9459         -
28   28                  404   0.8220    0.8229   1.2917   1.0688         -
29   29                  401   0.6454    0.6898   0.8598   0.6614         -
30   30                  401   0.6004    0.6028   0.8247   0.6368         -
31   31                  399   0.6135    0.6033   1.0858   0.8396         -
32   32                  403   0.7120    0.7236   1.2089   0.9413         -
33   33                  401   0.7323    0.7154   0.8117   0.5568         -
34   34                  399   0.7485    0.7621   0.6645   0.4761         -
35   35                  401   0.6202    0.5531   0.9669   0.7792         -
36   36                   77   0.7685    0.6975   0.7220   0.5594         -
37   37                  324   0.7509    0.7556   1.0773   0.8540         -
38   38                  324   0.8467    0.8406   1.1281   0.9046         -
39   39                  402   0.8155    0.7977   0.9670   0.7543         -
40   40                  404   0.5845    0.4502   0.8167   0.6831         -
41   41                   77   0.7592    0.7246   0.7620   0.610477 (no_dti)
42   42                  401   0.6637    0.7009   1.2219   0.8379         -
43   43                  324   0.6542    0.6554   1.5057   1.1614         -
44   44                   77   0.7644    0.7302   0.9276   0.7618         -
45   45                  329   0.5037    0.4192   1.1781   0.9529         -
46   46                  393   0.5664    0.5222   0.7311   0.5840         -
47   47                  382   0.7087    0.7081   0.6457   0.4791382 (no_dti)
48   48                  401   0.6288    0.5693   0.9329   0.7766         -
49   49                  324   0.7635    0.8226   0.7290   0.5447         -
50   50                  402   0.5942    0.5830   1.9974   1.5727         -
51   51                  401   0.7285    0.7030   0.7734   0.6333         -
52   52                  396   0.6937    0.6694   1.2238   0.9608         -
53   53                  397   0.8496    0.8402   1.1154   0.8969         -
54   54                  399   0.7231    0.7038   1.0967   0.8154         -
55   55                  404   0.7964    0.7592   0.9893   0.7979         -
56   56                  324   0.5846    0.5973   1.0245   0.8318         -
57   57                  345   0.7608    0.7612   1.0964   0.8614         -
58   58                  110   0.8589    0.8643   1.3149   0.9967         -
59   59                  336   0.8416    0.8223   1.0109   0.7846         -
60   60                  401   0.8040    0.7868   1.0683   0.7868         -
61   61                  399   0.6454    0.6633   1.2694   1.0141         -
62   62                  222   0.5577    0.6169   2.1595   1.5931         -
63   63                  393   0.6678    0.6455   1.2325   0.9277         -
64   64                  403   0.8708    0.8400   1.2393   0.9562         -
65   65                   99   0.4477    0.3690   1.4149   1.1553         -
66   66                  403   0.8340    0.8140   0.9068   0.7539         -
67   67                  393   0.7647    0.7584   1.1092   0.8905393 (no_dti)
68   68                  382   0.7521    0.7593   0.8614   0.6524         -
69   69                  396   0.6455    0.6542   0.7801   0.5571396 (no_dti)
70   70                  398   0.7293    0.7132   0.7578   0.6017         -
71   71                  401   0.6215    0.6198   0.9446   0.6876         -
72   72                  382   0.7174    0.7041   1.3755   1.0765         -
73   73                   77   0.7610    0.7907   1.0983   0.9305         -
74   74                   77   0.7990    0.7966   0.7250   0.5982         -
75   75                  403   0.8446    0.7879   1.0220   0.8051         -
76   76                  402   0.6801    0.7405   1.1377   0.7700         -
77   77                  403   0.7496    0.7153   1.0269   0.8132         -
78   78                  401   0.5313    0.5119   1.6304   1.3298         -
79   79                  400   0.7353    0.5992   1.4524   1.1188         -
80   80                  393   0.7383    0.7174   0.9389   0.7253         -
81   81                  385   0.8328    0.8371   1.2875   1.0171         -
82   82                  404   0.6763    0.6624   1.3076   0.9943         -
83   83                  152   0.6902    0.7042   1.0959   0.8878         -
84   84                  402   0.7265    0.7117   1.2521   0.9945         -
85   85                  399   0.7603    0.7572   0.8099   0.6331         -
86   86                  398   0.7230    0.7280   0.6651   0.5204         -
87   87                  403   0.8240    0.8350   0.8744   0.6495         -
88   88                  397   0.7968    0.7891   0.9529   0.7243         -
89   89                  403   0.5914    0.5690   1.0673   0.8065         -
90   90                  382   0.5763    0.6096   0.8421   0.6375         -
91   91                  399   0.7614    0.8333   0.7297   0.4532         -
