================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B3_bypass_cat/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1513.3s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9239 RMSE=1.1300 Spearman=0.8913 N=66543
  PCC  | mean=0.6825  median=0.7031  weighted_mean=0.6818  std=0.1083
  RMSE | mean=1.0728  median=1.0458  weighted_mean=1.0762
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8815  RMSE=1.2573  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7328    0.7140   0.6504   0.4986         -
1    1                   404   0.6125    0.6053   1.1318   0.8377         -
2    2                   324   0.6516    0.6320   1.6450   1.3376324 (no_dti)
3    3                    77   0.7508    0.6265   0.6721   0.5384         -
4    4                   401   0.8006    0.7581   0.5427   0.4367         -
5    5                   404   0.7636    0.7527   1.1299   0.8853         -
6    6                   382   0.6917    0.6672   0.6523   0.5017         -
7    7                   324   0.7892    0.7664   1.3322   1.0662         -
8    8                   385   0.6522    0.6142   1.2401   0.9970         -
9    9                   402   0.7494    0.7323   0.7288   0.5520         -
10   10                  403   0.8069    0.7673   0.7164   0.5610         -
11   11                  329   0.8062    0.7912   1.3368   1.0600         -
12   12                  324   0.3956    0.4315   2.0102   1.6318324 (no_dti)
13   13                  326   0.7465    0.7109   0.9266   0.7299         -
14   14                  327   0.4851    0.4608   1.3626   1.1358         -
15   15                  327   0.8442    0.8502   1.3121   1.0912         -
16   16                  403   0.7965    0.7907   1.1962   0.9781         -
17   17                  401   0.7891    0.7861   1.2213   0.9998         -
18   18                  401   0.8299    0.8196   0.9500   0.7727         -
19   19                  403   0.6771    0.6415   1.1346   0.8895         -
20   20                  402   0.7938    0.7985   1.8709   1.5197         -
21   21                  324   0.8448    0.8276   0.4825   0.3775         -
22   22                  403   0.7821    0.7716   0.6356   0.4985         -
23   23                  399   0.7229    0.7085   1.4162   1.1386         -
24   24                  401   0.5434    0.6057   1.0068   0.7102         -
25   25                  324   0.6510    0.6318   1.0258   0.8174324 (no_dti)
26   26                  399   0.7736    0.7733   1.0490   0.8426         -
27   27                  373   0.3314    0.3067   2.2938   2.0263         -
28   28                  404   0.8102    0.8138   1.3986   1.1623         -
29   29                  401   0.6636    0.6896   0.8915   0.6296         -
30   30                  401   0.6297    0.5874   0.8006   0.5958         -
31   31                  399   0.5172    0.5209   1.1733   0.8955         -
32   32                  403   0.5828    0.6227   1.3138   1.0037         -
33   33                  401   0.6976    0.6890   0.8499   0.5823         -
34   34                  399   0.7934    0.7693   0.6059   0.4563         -
35   35                  401   0.5819    0.4968   1.0140   0.8217         -
36   36                   77   0.7367    0.6796   0.7437   0.5744         -
37   37                  324   0.7476    0.7488   1.0891   0.8681         -
38   38                  324   0.8244    0.8205   1.1828   0.9550         -
39   39                  402   0.8135    0.7921   1.2893   1.0711         -
40   40                  404   0.5629    0.4309   0.7145   0.5856         -
41   41                   77   0.8030    0.7527   0.8239   0.705977 (no_dti)
42   42                  401   0.6511    0.6850   1.2482   0.8144         -
43   43                  324   0.6342    0.6196   1.5352   1.1252         -
44   44                   77   0.7207    0.6947   1.0075   0.8566         -
45   45                  329   0.4425    0.3324   1.2076   1.0101         -
46   46                  393   0.6207    0.5366   0.7029   0.5785         -
47   47                  382   0.7161    0.7091   0.6362   0.4729382 (no_dti)
48   48                  401   0.6173    0.5564   0.9315   0.7655         -
49   49                  324   0.7910    0.8200   0.6573   0.4493         -
50   50                  402   0.4632    0.4092   2.0978   1.6487         -
51   51                  401   0.7311    0.6859   0.7582   0.6122         -
52   52                  396   0.6505    0.6311   1.2677   1.0005         -
53   53                  397   0.8363    0.8323   1.3639   1.1376         -
54   54                  399   0.6828    0.6655   1.1481   0.8093         -
55   55                  404   0.7652    0.7163   1.0658   0.8639         -
56   56                  324   0.5664    0.5737   0.9479   0.7427         -
57   57                  345   0.7310    0.7372   1.1843   0.9076         -
58   58                  110   0.8547    0.8463   1.2901   1.0181         -
59   59                  336   0.8181    0.7887   1.1280   0.8808         -
60   60                  401   0.7879    0.7721   1.0820   0.7934         -
61   61                  399   0.6279    0.6429   1.3071   1.0300         -
62   62                  222   0.4503    0.5368   2.3033   1.7685         -
63   63                  393   0.6073    0.5828   1.3404   0.9954         -
64   64                  403   0.7447    0.7524   1.5605   1.1940         -
65   65                   99   0.4114    0.3544   1.4460   1.1758         -
66   66                  403   0.8316    0.8027   0.9315   0.7822         -
67   67                  393   0.7610    0.7484   1.1856   0.9829393 (no_dti)
68   68                  382   0.7538    0.7564   0.8452   0.6597         -
69   69                  396   0.6709    0.6624   0.7506   0.5335396 (no_dti)
70   70                  398   0.7372    0.7165   0.7587   0.6016         -
71   71                  401   0.5826    0.5756   0.9841   0.7418         -
72   72                  382   0.6806    0.6637   1.4145   1.1161         -
73   73                   77   0.7091    0.7503   1.1381   0.9455         -
74   74                   77   0.7733    0.7611   0.7947   0.6673         -
75   75                  403   0.7197    0.6894   1.3750   1.0291         -
76   76                  402   0.5541    0.6370   1.2434   0.8126         -
77   77                  403   0.7241    0.6911   1.0383   0.8130         -
78   78                  401   0.4086    0.4193   1.6584   1.3480         -
79   79                  400   0.6678    0.5345   1.5419   1.1999         -
80   80                  393   0.7466    0.7181   0.9410   0.7504         -
81   81                  385   0.8229    0.8292   1.4066   1.1349         -
82   82                  404   0.6502    0.6342   1.3882   0.9805         -
83   83                  152   0.6717    0.6812   1.1059   0.8938         -
84   84                  402   0.4288    0.4812   1.5260   1.1787         -
85   85                  399   0.7515    0.7394   0.7939   0.6238         -
86   86                  398   0.7371    0.7058   0.6508   0.5051         -
87   87                  403   0.8103    0.8186   0.9424   0.7235         -
88   88                  397   0.7378    0.7355   1.0221   0.7939         -
89   89                  403   0.5899    0.5680   1.0820   0.8171         -
90   90                  382   0.5963    0.6111   0.8259   0.6307         -
91   91                  399   0.7954    0.8533   0.7015   0.3816         -
92   92                  402   0.7137    0.6954   1.0175   0.8047         -
93   93                  399   0.8160    0.7844   0.5220   0.4034         -
94   94                  401   0.7181    0.7087   1.0837   0.8890         -
95   95                  110   0.6759    0.6404   1.1391   0.8587         -
96   96                  401   0.7697    0.7383   0.6341   0.4935         -
97   97                  343   0.5976    0.5807   0.8621   0.6506         -
98   98                  401   0.7233    0.7120   1.4559   1.1226         -
99   99                  324   0.7982    0.8023   0.8805   0.6722         -
100  100                 404   0.6159    0.5883   0.9827   0.7617         -
101  101                 403   0.7986    0.7639   0.8001   0.6106         -
102  102                 403   0.5632    0.5622   1.2200   0.9185         -
103  103                 381   0.5589    0.5763   0.9753   0.6748         -
104  104                 395   0.7657    0.7322   1.4473   1.1269         -
105  105                 399   0.7798    0.7283   0.6112   0.4978         -
106  106                 399   0.6724    0.6755   1.5263   1.1943         -
107  107                 401   0.6085    0.5926   1.1379   0.9054         -
108  108                 380   0.5304    0.5704   1.5082   1.1280         -
109  109                 403   0.7570    0.7715   0.9137   0.7293         -
110  110                 403   0.6041    0.6115   1.5435   1.2089         -
111  111                 396   0.6750    0.6237   1.2352   1.0378         -
112  112                 382   0.7896    0.7576   0.9920   0.7920         -
113  113                 404   0.6994    0.6873   1.0854   0.8361         -
