================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B4_dual_encoder/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1513.0s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9482 RMSE=0.9361 Spearman=0.9211 N=66543
  PCC  | mean=0.7784  median=0.7895  weighted_mean=0.7801  std=0.0782
  RMSE | mean=0.9055  median=0.8722  weighted_mean=0.9046
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9134  RMSE=1.0623  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7726    0.7663   0.7961   0.6888         -
1    1                   404   0.7073    0.6980   0.9702   0.7337         -
2    2                   324   0.7828    0.7800   1.3924   1.0926324 (no_dti)
3    3                    77   0.7681    0.6377   0.7790   0.6345         -
4    4                   401   0.8117    0.7714   0.6236   0.5341         -
5    5                   404   0.8081    0.7975   1.0772   0.8463         -
6    6                   382   0.6950    0.6590   0.6463   0.4955         -
7    7                   324   0.8558    0.8449   1.1178   0.8994         -
8    8                   385   0.7370    0.7205   1.0985   0.8872         -
9    9                   402   0.7900    0.7845   0.7469   0.5761         -
10   10                  403   0.8266    0.7995   0.7194   0.5868         -
11   11                  329   0.8651    0.8566   1.2368   0.9577         -
12   12                  324   0.6642    0.6535   1.7347   1.4137324 (no_dti)
13   13                  326   0.7666    0.7224   1.0104   0.8141         -
14   14                  327   0.5993    0.5745   0.7047   0.5671         -
15   15                  327   0.8876    0.8924   1.1913   0.9989         -
16   16                  403   0.9171    0.9260   0.7841   0.6286         -
17   17                  401   0.8706    0.8778   0.9972   0.8172         -
