================================================================================
Phase 6 Generalization Report | model=baseline_simple
ckpt: data/model/baseline/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 37.4s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9575 RMSE=0.8526 Spearman=0.9349 N=66543
  PCC  | mean=0.8154  median=0.8200  weighted_mean=0.8166  std=0.0688
  RMSE | mean=0.8335  median=0.8099  weighted_mean=0.8322
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9291  RMSE=0.9637  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7638    0.7621   0.6074   0.4611         -
1    1                   404   0.7464    0.7479   0.9487   0.7347         -
2    2                   324   0.8418    0.8410   1.1802   0.9158324 (no_dti)
3    3                    77   0.7988    0.7289   0.6277   0.5108         -
4    4                   401   0.8216    0.7784   0.5131   0.4178         -
5    5                   404   0.8450    0.8407   1.0346   0.8422         -
6    6                   382   0.7405    0.7029   0.6078   0.4624         -
7    7                   324   0.8682    0.8501   1.0756   0.8487         -
8    8                   385   0.8110    0.7875   1.0071   0.8008         -
9    9                   402   0.8099    0.7928   0.7012   0.5330         -
10   10                  403   0.8539    0.8228   0.6249   0.4874         -
11   11                  329   0.8856    0.8746   1.1253   0.8738         -
12   12                  324   0.8154    0.7966   1.4802   1.1678324 (no_dti)
13   13                  326   0.8049    0.7748   0.9457   0.7547         -
14   14                  327   0.6264    0.6129   0.7340   0.5873         -
15   15                  327   0.9176    0.9201   0.8732   0.6634         -
16   16                  403   0.9302    0.9368   0.7089   0.5330         -
17   17                  401   0.8911    0.8970   0.8382   0.6423         -
18   18                  401   0.8791    0.8743   0.7724   0.6138         -
19   19                  403   0.7959    0.7818   0.8338   0.6639         -
20   20                  402   0.9473    0.9483   1.0348   0.7955         -
21   21                  324   0.8736    0.8643   0.4266   0.3366         -
22   22                  403   0.8223    0.8146   0.5564   0.4325         -
23   23                  399   0.8955    0.8926   0.8799   0.6766         -
24   24                  401   0.8063    0.8043   0.7401   0.5799         -
25   25                  324   0.7576    0.7462   0.6671   0.4897324 (no_dti)
26   26                  399   0.8614    0.8712   0.8148   0.6424         -
27   27                  373   0.8751    0.8725   1.2271   0.9066         -
28   28                  404   0.9172    0.9240   0.8746   0.6850         -
29   29                  401   0.7134    0.7218   0.8107   0.6527         -
30   30                  401   0.6820    0.6557   0.7951   0.6577         -
31   31                  399   0.8158    0.8143   0.7988   0.6088         -
32   32                  403   0.8516    0.8427   0.8602   0.6796         -
33   33                  401   0.7807    0.7762   0.7742   0.5309         -
34   34                  399   0.8016    0.7764   0.6221   0.5077         -
35   35                  401   0.7664    0.6904   0.7998   0.5801         -
36   36                   77   0.8049    0.7356   0.6847   0.5728         -
37   37                  324   0.8387    0.8508   0.9005   0.6833         -
38   38                  324   0.8934    0.8915   0.8881   0.6660         -
39   39                  402   0.8605    0.8465   0.7680   0.6003         -
40   40                  404   0.6885    0.5659   0.5191   0.4030         -
41   41                   77   0.8500    0.8394   0.6130   0.462177 (no_dti)
42   42                  401   0.7517    0.7478   1.0644   0.7385         -
43   43                  324   0.7738    0.7511   1.2895   0.9837         -
44   44                   77   0.8285    0.8180   0.7893   0.6185         -
45   45                  329   0.6499    0.5538   1.0873   0.8407         -
46   46                  393   0.6683    0.5963   0.6766   0.5475         -
47   47                  382   0.7502    0.7600   0.6336   0.5014382 (no_dti)
48   48                  401   0.8048    0.7915   0.7776   0.6258         -
49   49                  324   0.8502    0.8495   0.5479   0.3867         -
