================================================================================
Phase 6 Generalization Report | model=cdr_baseline
ckpt: data/model/cdr_baseline/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 3.3s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9332 RMSE=1.0606 Spearman=0.9027 N=66543
  PCC  | mean=0.7078  median=0.7191  weighted_mean=0.7078  std=0.1010
  RMSE | mean=1.0150  median=0.9869  weighted_mean=1.0173
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9161  RMSE=1.0467  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7325    0.7101   0.7709   0.5694         -
1    1                   404   0.6259    0.6266   1.0378   0.7663         -
2    2                   324   0.8072    0.8044   1.3513   1.0937324 (no_dti)
3    3                    77   0.7591    0.6297   0.6624   0.5235         -
4    4                   401   0.7975    0.7482   0.6175   0.4598         -
5    5                   404   0.8037    0.7906   1.0041   0.8018         -
6    6                   382   0.6937    0.6677   0.6613   0.5117         -
7    7                   324   0.8032    0.7900   1.3769   1.0812         -
8    8                   385   0.6923    0.6583   1.1664   0.9245         -
9    9                   402   0.7401    0.7172   0.7252   0.5583         -
10   10                  403   0.8064    0.7718   0.7784   0.5779         -
11   11                  329   0.8654    0.8576   1.1487   0.8598         -
12   12                  324   0.7790    0.7690   1.4293   1.1876324 (no_dti)
13   13                  326   0.7444    0.7086   0.9242   0.7514         -
14   14                  327   0.4888    0.4860   0.8060   0.6379         -
15   15                  327   0.8644    0.8676   1.1442   0.8595         -
16   16                  403   0.8733    0.8821   1.0435   0.8003         -
17   17                  401   0.8230    0.8216   1.3130   1.0462         -
18   18                  401   0.8365    0.8303   0.9004   0.7160         -
19   19                  403   0.6963    0.6793   1.0187   0.8343         -
20   20                  402   0.9072    0.9058   1.3789   1.0835         -
21   21                  324   0.8486    0.8381   0.4606   0.3283         -
22   22                  403   0.7809    0.7774   0.6572   0.4920         -
23   23                  399   0.8042    0.7975   1.2006   0.9325         -
24   24                  401   0.6574    0.6595   0.8994   0.6881         -
25   25                  324   0.6041    0.5743   0.7381   0.5678324 (no_dti)
26   26                  399   0.7835    0.7928   1.0645   0.8260         -
27   27                  373   0.4061    0.3842   2.2354   1.9346         -
28   28                  404   0.8343    0.8437   1.2523   0.9491         -
29   29                  401   0.6438    0.6721   0.8932   0.6163         -
30   30                  401   0.6366    0.5833   0.7904   0.5912         -
31   31                  399   0.6269    0.6062   1.0524   0.8291         -
32   32                  403   0.7131    0.7232   1.1295   0.8713         -
33   33                  401   0.7067    0.6708   0.8157   0.5922         -
34   34                  399   0.8029    0.7807   0.5972   0.4328         -
35   35                  401   0.6141    0.5242   0.9415   0.6884         -
36   36                   77   0.7234    0.6503   0.7371   0.5462         -
37   37                  324   0.7491    0.7615   1.0605   0.8492         -
38   38                  324   0.8491    0.8455   1.0580   0.8040         -
39   39                  402   0.7906    0.7764   0.9740   0.7826         -
40   40                  404   0.6109    0.4880   0.8123   0.6534         -
41   41                   77   0.7841    0.6798   0.7604   0.618077 (no_dti)
42   42                  401   0.6389    0.6825   1.2234   0.8259         -
43   43                  324   0.6735    0.6547   1.5367   1.0701         -
44   44                   77   0.7305    0.7398   0.9640   0.7558         -
45   45                  329   0.4586    0.3850   1.1893   0.9600         -
46   46                  393   0.6098    0.5463   0.7286   0.5933         -
47   47                  382   0.7235    0.7113   0.7093   0.5378382 (no_dti)
48   48                  401   0.6351    0.5750   0.9444   0.7887         -
49   49                  324   0.7630    0.8006   0.7487   0.5129         -
50   50                  402   0.5204    0.4808   2.0123   1.6009         -
51   51                  401   0.7357    0.6909   0.7698   0.5986         -
52   52                  396   0.6774    0.6602   1.1673   0.9659         -
53   53                  397   0.8554    0.8454   1.1634   0.8922         -
54   54                  399   0.6955    0.6947   1.1078   0.7771         -
55   55                  404   0.7919    0.7451   0.9686   0.7640         -
56   56                  324   0.6289    0.6016   0.9038   0.6896         -
57   57                  345   0.7198    0.7236   1.1787   0.9259         -
58   58                  110   0.8452    0.8652   1.3627   1.0845         -
59   59                  336   0.8846    0.8790   0.8878   0.7013         -
60   60                  401   0.7866    0.7660   1.0367   0.7860         -
61   61                  399   0.5919    0.5959   1.3263   1.0251         -
62   62                  222   0.5734    0.6346   2.2217   1.5075         -
63   63                  393   0.6578    0.6295   1.2693   1.0233         -
64   64                  403   0.8017    0.7988   1.3185   1.0322         -
65   65                   99   0.4922    0.4543   1.3793   1.1129         -
66   66                  403   0.8497    0.8361   0.8509   0.6854         -
67   67                  393   0.7163    0.7012   1.1797   0.9504393 (no_dti)
68   68                  382   0.7566    0.7664   0.8349   0.6550         -
69   69                  396   0.6956    0.7001   0.7429   0.5110396 (no_dti)
70   70                  398   0.7375    0.7152   0.7534   0.5996         -
71   71                  401   0.6076    0.6046   0.9374   0.6966         -
72   72                  382   0.7375    0.7101   1.2777   1.0033         -
73   73                   77   0.7062    0.6922   1.1086   0.9143         -
74   74                   77   0.7369    0.7158   0.8160   0.6568         -
75   75                  403   0.7949    0.7247   1.1487   0.9375         -
76   76                  402   0.6823    0.7560   1.0653   0.7072         -
77   77                  403   0.7351    0.7176   1.0537   0.8586         -
78   78                  401   0.2643    0.3039   1.7490   1.3159         -
79   79                  400   0.6748    0.5393   1.5086   1.1370         -
80   80                  393   0.7556    0.7344   0.8781   0.6954         -
81   81                  385   0.8552    0.8545   1.4589   1.1382         -
82   82                  404   0.7160    0.6925   1.2091   0.9785         -
83   83                  152   0.6453    0.6588   1.1133   0.8817         -
84   84                  402   0.6402    0.6248   1.3297   1.0807         -
85   85                  399   0.7687    0.7659   0.7667   0.5989         -
86   86                  398   0.7279    0.7053   0.6373   0.4927         -
87   87                  403   0.8162    0.8250   0.8755   0.6781         -
88   88                  397   0.7932    0.7835   0.9215   0.7296         -
89   89                  403   0.6141    0.5914   1.0551   0.8059         -
90   90                  382   0.6007    0.6269   0.8244   0.6170         -
91   91                  399   0.7963    0.8394   0.6955   0.3876         -
92   92                  402   0.7680    0.7421   0.9070   0.7133         -
93   93                  399   0.8278    0.7965   0.5150   0.3830         -
94   94                  401   0.7123    0.7001   1.0392   0.8229         -
95   95                  110   0.7061    0.6743   0.9930   0.7612         -
96   96                  401   0.7539    0.7291   0.6874   0.5371         -
97   97                  343   0.5941    0.5701   0.9204   0.7193         -
98   98                  401   0.7315    0.7228   1.4340   1.1244         -
99   99                  324   0.7532    0.7675   0.9840   0.7588         -
100  100                 404   0.7129    0.7045   0.8769   0.6787         -
101  101                 403   0.8180    0.7821   0.7405   0.5852         -
102  102                 403   0.5901    0.5856   1.1735   0.8941         -
103  103                 381   0.5371    0.5764   0.9826   0.6890         -
104  104                 395   0.7838    0.7620   1.4191   1.0812         -
105  105                 399   0.7814    0.7307   0.6021   0.4771         -
106  106                 399   0.7126    0.7181   1.4587   1.1780         -
107  107                 401   0.6616    0.6400   1.0693   0.8568         -
108  108                 380   0.6420    0.6505   1.3920   1.0144         -
109  109                 403   0.7921    0.7874   0.8541   0.6595         -
110  110                 403   0.7668    0.7397   1.2076   0.9619         -
111  111                 396   0.6877    0.6380   1.2035   1.0128         -
112  112                 382   0.8313    0.7909   0.8271   0.6673         -
113  113                 404   0.7792    0.7694   0.9205   0.7294         -
114  114                 403   0.6288    0.5550   1.4954   1.1353         -
115  115                 382   0.7640    0.7645   1.0749   0.8331         -
116  116                 385   0.7572    0.7068   0.7879   0.5820         -
117  117                 401   0.6867    0.6542   1.0471   0.8293         -
118  118                 324   0.6083    0.6084   1.1474   0.8961         -
119  119                 330   0.6506    0.6258   1.0636   0.8364         -
120  120                 382   0.4172    0.3752   1.0610   0.8524         -
121  121                 382   0.7816    0.7528   0.6058   0.4598         -
