================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/gdgn/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2353.8s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9100 RMSE=1.2260 Spearman=0.8799 N=66543
  PCC  | mean=0.6505  median=0.6675  weighted_mean=0.6481  std=0.1213
  RMSE | mean=1.1506  median=1.0962  weighted_mean=1.1517
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8612  RMSE=1.6558  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
0    0                   327   0.7216    0.6900   0.8639   0.6587         -
1    1                   404   0.5992    0.5862   1.1868   0.8855         -
2    2                   324   0.6317    0.6177   1.6830   1.3742324 (no_dti)
3    3                    77   0.7287    0.6307   0.7103   0.5600         -
4    4                   401   0.7809    0.7279   0.5713   0.4535         -
5    5                   404   0.7564    0.7427   1.1426   0.9016         -
6    6                   382   0.6930    0.6827   0.6552   0.5091         -
7    7                   324   0.7487    0.7147   1.5565   1.2634         -
8    8                   385   0.6383    0.6000   1.2477   1.0028         -
9    9                   402   0.6983    0.6827   0.7874   0.6218         -
10   10                  403   0.7924    0.7480   0.7328   0.5638         -
11   11                  329   0.7735    0.7539   1.4601   1.1734         -
12   12                  324   0.3253    0.3512   2.0606   1.6140324 (no_dti)
13   13                  326   0.7272    0.7027   0.9448   0.7537         -
14   14                  327   0.4861    0.4644   3.1936   3.0792         -
15   15                  327   0.8305    0.8399   1.3133   1.0849         -
16   16                  403   0.7537    0.7424   1.2307   0.9942         -
