drug_idx,n_true,hits,hit_ratio
0,1,1,1.0
3,1,0,0.0
4,3,0,0.0
5,11,0,0.0
6,1,0,0.0
7,2,0,0.0
8,1,1,1.0
9,4,3,0.75
10,2,0,0.0
11,1,0,0.0
13,2,0,0.0
14,2,0,0.0
15,1,0,0.0
16,1,0,0.0
17,5,0,0.0
18,3,0,0.0
19,1,0,0.0
20,7,0,0.0
21,2,0,0.0
22,2,0,0.0
23,2,2,1.0
24,1,1,1.0
26,3,0,0.0
27,4,1,0.25
28,5,0,0.0
29,1,0,0.0
30,1,0,0.0
31,1,0,0.0
32,1,0,0.0
34,4,1,0.25
35,16,2,0.125
36,2,0,0.0
37,1,0,0.0
39,1,0,0.0
42,1,0,0.0
43,4,0,0.0
44,1,1,1.0
46,1,0,0.0
48,2,0,0.0
50,1,0,0.0
51,2,2,1.0
52,1,0,0.0
54,2,0,0.0
55,1,1,1.0
57,3,0,0.0
58,1,0,0.0
59,8,0,0.0
60,1,0,0.0
63,2,0,0.0
64,3,2,0.6666666666666666
66,3,0,0.0
72,1,1,1.0
73,1,0,0.0
74,1,0,0.0
75,2,1,0.5
76,2,2,1.0
77,1,0,0.0
79,3,3,1.0
80,1,1,1.0
81,1,0,0.0
86,2,0,0.0
87,1,0,0.0
88,2,0,0.0
92,2,1,0.5
93,3,1,0.3333333333333333
94,1,0,0.0
97,4,4,1.0
98,2,2,1.0
99,1,1,1.0
100,1,1,1.0
101,1,0,0.0
102,2,0,0.0
105,2,0,0.0
106,2,0,0.0
107,2,2,1.0
109,1,0,0.0
110,1,0,0.0
111,2,2,1.0
112,2,0,0.0
113,1,1,1.0
115,1,0,0.0
116,2,1,0.5
119,2,1,0.5
120,1,0,0.0
124,1,1,1.0
125,1,0,0.0
126,3,0,0.0
127,2,1,0.5
128,1,1,1.0
129,1,0,0.0
130,1,1,1.0
131,2,0,0.0
132,4,2,0.5
135,2,1,0.5
137,1,1,1.0
141,2,1,0.5
143,1,0,0.0
153,1,1,1.0
155,1,0,0.0
156,1,1,1.0
159,1,0,0.0
160,1,0,0.0
166,2,0,0.0
170,1,0,0.0
173,1,0,0.0
175,1,1,1.0
176,1,0,0.0
178,1,0,0.0
180,2,1,0.5
181,1,1,1.0
183,1,0,0.0
