drug_idx,drug_cid,top_gene_idx,top_gene_symbol,top_scores
2,2332,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
12,8269,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
25,124886,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
41,637858,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
47,2155128,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
67,9914412,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
69,9927531,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
121,42623951,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
158,60167849,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
168,73010930,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
172,91668541,130|386|468|54|245|496|358|771|138|142,DNMT3A|PTEN|STK11|BRAF|KMT2A|TP53|PIK3CA|AKT3|EML4|ERBB2,0.9967|0.9948|0.9890|0.9871|0.9870|0.9839|0.9836|0.9829|0.9801|0.9785
