gene_name,onc_tsg,in_expression_matrix
ABI1,"TSG, fusion",True
ABL1,"oncogene, fusion",True
ABL2,"oncogene, fusion",True
ACKR3,"oncogene, fusion",True
ACSL3,fusion,True
ACVR1,oncogene,True
ACVR1B,TSG,True
ACVR2A,TSG,True
AFDN,"oncogene, fusion",True
AFF1,fusion,True
AFF3,"oncogene, fusion",True
AFF4,"oncogene, fusion",True
AKT1,oncogene,True
AKT2,oncogene,True
ALK,"oncogene, fusion",True
AMER1,TSG,True
APC,TSG,True
AR,oncogene,True
ARHGAP26,"TSG, fusion",True
ARHGAP35,TSG,True
ARHGEF12,"TSG, fusion",True
ARID1A,"TSG, fusion",True
ARID1B,TSG,True
ARID2,TSG,True
ARNT,"oncogene, TSG, fusion",True
ASPSCR1,fusion,True
ASXL1,TSG,True
ATF1,"oncogene, fusion",True
ATIC,fusion,True
ATM,TSG,True
ATP1A1,"oncogene, TSG",True
ATP2B3,TSG,True
ATR,TSG,True
ATRX,TSG,True
AXIN1,TSG,True
AXIN2,TSG,True
B2M,TSG,True
BAP1,TSG,True
BARD1,TSG,True
BAX,TSG,True
BCL10,"TSG, fusion",True
BCL11A,"oncogene, fusion",True
BCL11B,"oncogene, TSG, fusion",True
BCL2,"oncogene, fusion",True
BCL3,"oncogene, fusion",True
BCL6,"oncogene, fusion",True
BCL7A,fusion,True
BCL9,"oncogene, fusion",True
BCL9L,"oncogene, TSG",True
BCOR,"TSG, fusion",True
BCORL1,"oncogene, TSG",True
BCR,fusion,True
BIRC3,"oncogene, TSG, fusion",True
BLM,TSG,True
BMPR1A,"oncogene, TSG",True
BRAF,"oncogene, fusion",True
BRCA1,TSG,True
BRCA2,TSG,True
BRD3,"oncogene, fusion",True
BRD4,"oncogene, fusion",True
BRIP1,TSG,True
BTG1,"TSG, fusion",True
BTK,"oncogene, TSG",True
BUB1B,TSG,True
CACNA1D,oncogene,True
CALR,oncogene,True
CAMTA1,"TSG, fusion",True
CANT1,fusion,True
CARD11,oncogene,True
CARS,"TSG, fusion",False
CASP8,TSG,True
CBFA2T3,"TSG, fusion",True
CBFB,"TSG, fusion",True
CBL,"oncogene, TSG, fusion",True
CBLB,TSG,True
CCDC6,"TSG, fusion",True
CCNB1IP1,"TSG, fusion",True
CCND1,"oncogene, fusion",True
CCND2,"oncogene, fusion",True
